ORGIN_AIPORT_ID,Description,Code.y
10971,"Zhengzhou, China: Xinzheng",CGO
10972,"Chittagong, Bangladesh: Chittagong Airport",CGP
10973,"Changchun, China: Dafangshen",NA
10974,"Campo Grande, Brazil: Campo Grande International",CGR
10975,"College Park, MD: College Park Airport",CGS
10976,"Ciudad Guayana, Venezuela: Ciudad Guayana Metropolitan Area",CGU
10977,"Chicago, IL: Meigs Field",CGX
10978,"Cagayan, Philippines: Cagayan de Oro",CGY
10979,"Casa Grande, AZ: Casa Grande Municipal",CGZ
10980,"Chattanooga, TN: Lovell Field",CHA
10981,"Christchurch, New Zealand: Christchurch International",CHC
10982,"Chandler, AZ: Chandler Municipal",CHD
10983,"Caherciveen, Ireland: Caherciveen Reenroe",CHE
10984,"Chinhae, South Korea: Jinhae",CHF
10985,"Chaoyang, China: Chaoyang Airport",CHG
10986,"Chicago, IL: Chicago Metropolitan Area",CHI
10987,"Challis, ID: Challis Airport",CHL
10987,"Challis, ID: Challis Airport",QCG
10988,"Chimbote, Peru: Teniente Jaime A. de Montreuil Morales",CHM
10990,"Charlottesville, VA: Charlottesville Albemarle",CHO
10991,"Circle Hot Springs, AK: Circle Hot Springs Airport",CHP
10992,"Chania, Greece: Souda",CHQ
10993,"Chateauroux, France: Chateauroux Airport",CHR
10994,"Charleston, SC: Charleston AFB/International",CHS
10995,"Chatham Islands, New Zealand: Chatham Islands Airport",CHT
10996,"Chuathbaluk, AK: Chuathbaluk Airport",CHU
10997,"Jiuquan, China: Jiayuguan",CHW
10998,"Changuinola, Panama: Changuinola 1",CHX
10999,"Chiloquin, OR: Chiloquin State",CHZ
11000,"Rome, Italy: Ciampino",CIA
11001,"Avalon, CA: Catalina",AVX
11001,"Avalon, CA: Catalina",CIB
11002,"Chico, CA: Chico Municipal",CIC
11003,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",CID
11004,"Craig, CO: Craig-Moffat",CIG
11005,"Changzhi, China: Changzhi Airport",CIH
11006,"Cobija, Bolivia: Cap Av Civ Anibal Arab Fadul International",CIJ
11007,"Chalkyitsik, AK: Chalkyitsik Airport",CIK
11008,"Council, AK: Council Airport",CIL
11009,"Carroll, IA: Arthur N Neu",CIN
11010,"Chipata, Zambia: Chipata Airport",CIP
11011,"Cairo, IL: Cairo Regional",CIR
11013,"Sault Ste. Marie, MI: Chippewa County International",CIU
11014,"Chomley, AK: Chomley Airport",CIV
11015,"Canouan, Saint Vincent and the Grenadines: Canouan Airport",CIW
11016,"Chiclayo, Peru: Capt. Jose A. Quinones Gonzales International",CIX
11017,"Comiso, Italy: Comiso Airport",CIY
11018,"Cajamarca, Peru: Gen FAP Armando Revoredo Iglesias",CJA
11019,"Coimbatore, India: Coimbatore International",CJB
11020,"Calama, Chile: El Loa",CJC
11021,"Crafton Island, AK: Crafton Island Airport",CJI
11023,"Chitral, Pakistan: Chitral Airport",CJL
11024,"Ciudad Juarez, Mexico: Abraham Gonzalez International",CJS
11025,"Jeju, South Korea: Jeju International",CJU
11026,"Clay Center, KS: Clay Center Municipal",CJW
11027,"Clarksburg/Fairmont, WV: North Central West Virginia",CKB
11028,"Crooked Creek, AK: Crooked Creek Airport",CKD
11029,"Clear Lake, CA: Pearce Field",CKE
11030,"Chongqing, China: Jiangbei",CKG
11031,"Clarksdale, MS: Fletcher Field",CKM
11032,"Cancun, Mexico: Cancun International",CUN
11033,"Carajas, Brazil: Carajas Airport",CKS
11034,"Cordova, AK: Cordova Municipal",CKU
11035,"Clarksville, TN: Outlaw Field",CKV
11036,"Chicken, AK: Chicken Airport",CKX
11037,"Conakry, Guinea: Conakry Airport",CKY
11038,"Comilla, Bangladesh: Cumilla",CLA
11039,"Castlebar, Ireland: Castlebar Airport",CLB
11040,"Clear Lake City, TX: Clear Lake Metroport",CLC
11041,"Carlsbad, CA: McClellan-Palomar",CLD
11042,"Cleveland, OH: Cleveland-Hopkins International",CLE
11043,"Clear, AK: Clear Mews",CLF
11044,"Coalinga, CA: New Coalinga Municipal",CLG
11045,"Coolah, Australia: Coolah Airport",CLH
11046,"Clintonville, WI: Clintonville Municipal",CLI
11047,"Cluj-Napoca, Romania: Avram Iancu",CLJ
11048,"Clinton, OK: Clinton Regional",CLK
11049,"College Station/Bryan, TX: Easterwood Field",CLL
11050,"Port Angeles, WA: William R. Fairchild International",CLM
11051,"Carolina, Brazil: Carolina Airport",CLN
11052,"Cali, Colombia: Alfonso Bonilla Aragon International",CLO
11053,"Clarks Point, AK: Clarks Point Airport",CLP
11054,"Colima, Mexico: Colima Airport",CLQ
11055,"Calipatria, CA: Cliff Hatfield Memorial",CLR
11056,"Chehalis, WA: Chehalis Centralia",CLS
11057,"Charlotte, NC: Charlotte Douglas International",CLT
11058,"Columbus, IN: Columbus Municipal",CLU
11059,"Calvi, France: Calvi Sainte Catherine",CLY
11060,"Cunnamulla, Australia: Cunnamulla Airport",CMA
11061,"Colombo, Sri Lanka: Bandaranaike International Colombo",CMB
11062,"Cootamundra, Australia: Cootamundra Airport",CMD
11063,"Ciudad del Carmen, Mexico: Ciudad del Carmen International",CME
11064,"Chambery, France: Chambery Aix Les Bains",CMF
11065,"Corumba, Brazil: Corumba International",CMG
11066,"Columbus, OH: John Glenn Columbus International",CMH
11067,"Champaign/Urbana, IL: University of Illinois/Willard",CMI
11068,"Chi Mei, Taiwan: Chi Mei Airport",CMJ
11069,"Carmelita, Guatemala: Carmelita Airport",CMM
11070,"Casablanca, Morocco: Mohammed V International",CMN
11071,"Colmar, France: Colmar Houssen",CMR
11072,"Cameta, Brazil: Cameta Airport",CMT
11073,"Kundiawa, Papua New Guinea: Chimbu",CMU
11074,"Coromandel, New Zealand: Coromandel Airport",CMV
11075,"Camaguey, Cuba: Ignacio Agramonte International",CMW
11076,"Hancock/Houghton, MI: Houghton County Memorial",CMX
11077,"Cananea, Mexico: Cananea Airport",CNA
11078,"Coonamble, Australia: Coonamble Airport",CNB
11079,"Coconut Island, Australia: Coconut Island Airport",CNC
11080,"Constanta, Romania: Rum Kogalniceanu",CND
11081,"Canon City, CO: Fremont County",CNE
11082,"Belo Horizonte, Brazil: Tancredo Neves International",CNF
11083,"Concordia, KS: Blosser Municipal",CNK
11084,"Sindal, Denmark: Sindal Airport",CNL
11085,"Carlsbad, NM: Cavern City Air Terminal",CNM
11086,"Chino, CA: Chino Airport",CNO
11087,"Corrientes, Argentina: Corrientes Airport",CNQ
11088,"Chanaral, Chile: Chanaral Airport",CNR
11089,"Cairns, Australia: Cairns International",CNS
11090,"Waco, TX: TSTC Waco",CNW
11091,"Chiang Mai, Thailand: Chiang Mai International",CNX
11092,"Moab, UT: Canyonlands Field",CNY
11093,"Marina, CA: Marina Municipal",CO3
11094,"Melgar, Colombia: Tolemaida AB",CO4
11095,"Columbia, CA: Columbia Airport",COA
11096,"Concordia, Argentina: Comodoro Pierrestegui",COC
11097,"Cody, WY: Yellowstone Regional",COD
11098,"Coeur d'Alene, ID: Coeur d'Alene - Pappy Boyington Field",COE
11099,"Cocoa Beach, FL: Patrick AFB",COF
11100,"Condoto, Colombia: Mandinga",COG
11101,"Cooch Behar, India: Cooch Behar Airport",COH
11102,"Coonabarabran, Australia: Coonabarabran Airport",COJ
11103,"Kochi, India: Cochin International",COK
11104,"Coll Island, United Kingdom: Coll",COL
11105,"Coleman, TX: Coleman Municipal",COM
11106,"Concord, NH: Concord Municipal",CON
11107,"Cotonou, Benin: Card Bernardin Gadin de Cadjehoun International",COO
11108,"Cordoba, Argentina: Ambrosio L. V. Taravella",COR
11109,"Colorado Springs, CO: City of Colorado Springs Municipal",COS
11110,"Cotulla, TX: Cotulla-La Salle County",COT
11111,"Columbia, MO: Columbia Regional",COU
11112,"Coolawanyah, Australia: Coolawanyah Airport",COY
11113,"Cape Palmas, Liberia: Cape Palmas Airport",CPA
11114,"Capurgana, Colombia: Capurgana Airport",CPB
11115,"Chapelco, Argentina: Aviador C. Campos",CPC
11116,"Coober Pedy, Australia: Coober Pedy Airport",CPD
11117,"Campeche, Mexico: Ingeniero Alberto Acuna Ongay International",CPE
11118,"Copenhagen, Denmark: Kastrup",CPH
11119,"Cape Rodney, Papua New Guinea: Cape Rodney Airport",CPN
11120,"Copiapo, Chile: Chamonate",NA
11121,"Campinas, Brazil: Viracopos International",CPQ
11122,"Casper, WY: Casper/Natrona County International",CPR
11123,"St. Louis, MO: Bi-State Parks",CPS
11124,"Cape Town, South Africa: Cape Town International",CPT
11125,"Campina Grande, Brazil: Presidente Joao Suassuna",CPV
11126,"Culebra, PR: Benjamin Rivera Noriega",CPX
11127,"Calais, France: Calais Marck",CQF
11128,"Carbondale, CO: Glen-Aspen",CQL
11130,"Cheraw, SC: Cheraw Municipal/Lynch Bellinger Field",CQW
11130,"Cheraw, SC: Cheraw Municipal/Lynch Bellinger Field",HCW
11131,"Craiova, Romania: Craiova Airport",CRA
11132,"Collarenebri, Australia: Collarenebri Airport",CRB
11133,"Cartago, Colombia: Cartago Airport",CRC
11134,"Comodoro Rivadavia, Argentina: Comodoro Rivadavia Airport",CRD
11135,"Myrtle Beach, SC: Grand Strand",CRE
11136,"Jacksonville, FL: Jacksonville Executive at Craig",CRG
11137,"Crooked Island, The Bahamas: Colonel Hill",CRI
11138,"Luzon Island, Philippines: Diosdado Macapagal International",CRK
11139,"Charleroi, Belgium: Brussels South",CRL
11140,"Corpus Christi, TX: Corpus Christi International",CRP
11141,"Caravelas, Brazil: Caravelas Airport",CRQ
11142,"Ceres, Argentina: Ceres Airport",CRR
11143,"Corsicana, TX: C David Campbell Field-Corsicana Municipal",CRS
11144,"Carriacou, Grenada: Lauriston",CRU
11145,"Crotone, Italy: Crotone Airport",CRV
11146,"Charleston/Dunbar, WV: Yeager",CRW
11147,"Corinth, MS: Roscoe Turner",CRX
11148,"Cresswell Downs, Australia: Cresswell Downs Airport",CSD
11149,"Crested Butte, CO: Crested Butte Airpark",CSE
11150,"Columbus, GA: Columbus Airport",CSG
11151,"Casino, Australia: Casino Airport",CSI
11152,"Clinton, OK: Clinton Sherman",CSM
11153,"Carson City, NV: Carson",CSN
11154,"Cape Spencer, AK: Cape Spencer C.G. Helipad",CSP
11155,"Casuarito, Colombia: Casuarito Airport",CSR
11156,"Cassilandia, Brazil: Cassilandia Airport",CSS
11157,"Castaway, Fiji: Castaway Airport",CST
11158,"Cape Sabine, AK: Cape Sabine Airport",CSU
11159,"Crossville, TN: Crossville Memorial-Whitson Field",CSV
11160,"Changsha, China: Huanghua",CSX
11161,"Catania, Italy: Catania-Fontanarossa",CTA
11162,"Cut Bank, MT: Cut Bank International",CTB
11163,"Catamarca, Argentina: Catamarca Aeroclub",CTC
11164,"Cartagena, Colombia: Rafael Nunez",CTG
11165,"Coatesville, PA: Chester County G. O. Carlson",CTH
11166,"Charleville, Australia: Charleville Airport",CTL
11167,"Chetumal, Mexico: Chetumal International",CTM
11168,"Cooktown, Australia: Cooktown Airport",CTN
11169,"Calverton, NY: Calverton Executive Airpark",CTO
11170,"Sapporo, Japan: New Chitose",CTS
11171,"Le Castellet, France: Le Castellet Airport",CTT
11172,"Chengdu, China: Shuangliu",CTU
11173,"Cottonwood, AZ: Cottonwood Airport",CTW
11174,"Cortland, NY: Cortland County Chase Field",CTX
11175,"Cross City, FL: Cross City Airport",CTY
11176,"Columbia, SC: Jim Hamilton L. B. Owens",CUB
11177,"Cucuta, Colombia: Camilo Daza",CUC
11178,"Cuenca, Ecuador: Cuenca Airport",CUE
11179,"Cuneo, Italy: Levaldigi",CUF
11180,"Culiacan, Mexico: Culiacan International",CUL
11181,"Cumana, Venezuela: Cumana Airport",CUM
11183,"Carupano, Venezuela: General Jose Francisco Bermudez",CUP
11184,"Coen, Australia: Coen Airport",CUQ
11185,"Willemstad, Curacao: Hato",CUR
11186,"Cutral-Co, Argentina: Cutral-Co Airport",CUT
11187,"Chihuahua, Mexico: General Roberto Fierro Villalobos International",CUU
11188,"Cube Cove, AK: Cube Cove Airport",CUW
11189,"Cue, Australia: Cue Airport",CUY
11190,"Cusco, Peru: Teniente Alejandro Velasco Astete International",CUZ
11191,"Pittsburgh, PA: Civic Arena H/P",CVA
11192,"Courchevel, France: Courchevel Airport",CVF
11193,"Cincinnati, OH: Cincinnati/Northern Kentucky International",CVG
11194,"Cuernavaca, Mexico: General Mariano Matamoros International",CVJ
11195,"Cape Vogel, Papua New Guinea: Cape Vogel Airport",CVL
11196,"Ciudad Victoria, Mexico: General Pedro Jose Mendez International",CVM
11197,"Clovis, NM: Clovis Municipal",CVN
11198,"Corvallis, OR: Corvallis Municipal",CVO
11199,"Carnarvon, Australia: Carnarvon Airport",CVQ
11200,"Clovis, NM: Cannon AFB",CVS
11201,"Coventry, United Kingdom: Coventry Airport",CVT
11202,"Charlevoix, MI: Charlevoix Municipal",CVX
11203,"Mosinee, WI: Central Wisconsin",CWA
11204,"Curitiba, Brazil: Afonso Pena",CWB
11207,"Clinton, IA: Clinton Municipal",CWI
11208,"Cardiff, United Kingdom: Cardiff Airport",CWL
11209,"Center Island, WA: Center Island Airport",CWS
11210,"Cowra, Australia: Cowra Airport",CWT
11211,"Caicara, Venezuela: Caicara Venez.",CXA
11212,"Cox's Bazar, Bangladesh: Cox's Bazar Airport",CXB
11213,"Chitina, AK: Chitina Airport",CXC
11214,"Coldfoot, AK: Coldfoot Airport",CXF
11215,"Vancouver, Canada: Coal Harbour Seaplane Base",CXH
11216,"Christmas Island, Kiribati: Christmas Island Airport",CXI
11217,"Caxias Do Sul, Brazil: Hugo Cantergiani",CXJ
11218,"Calexico, CA: Calexico International",CXL
11219,"Conroe, TX: Conroe North Houston Regional",CXO
11220,"Cilacap, Indonesia: Tunggul Wulung",CXP
11222,"Charters Towers, Australia: Charters Towers Airport",CXT
11223,"Cat Cay, The Bahamas: Cat Cay Airport",CXY
11224,"Les Cayes, Haiti: Cayes",CYA
11225,"Cayman Brac, Cayman Islands: Charles Kirkconnell International",CYB
11226,"Caye Chapel, Belize: Caye Chapel Airport",CYC
11227,"Chefornak, AK: Chefornak Airport",CYF
11229,"Chiayi, Taiwan: Chiayi Airport",CYI
11230,"Chatham, AK: Chatham Airport",CYM
11231,"Calbayog, Philippines: Calbayog Airport",CYP
11232,"Colonia, Uruguay: Laguna de Los Patos International",CYR
11233,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",CYS
11234,"Cape Yakataga, AK: Yakataga",CYT
11235,"Cauayan, Philippines: Cauayan Airport",CYZ
11236,"Chichen Itza, Mexico: Chichen Itza International",CZA
11237,"Cruz Alta, Brazil: Cruz Alta Airport",CZB
11238,"Copper Center, AK: Copper Center 2",CZC
11240,"Coro, Venezuela: Jose Leonardo Chirino",CZE
11241,"Cape Romanzof, AK: Cape Romanzof LRRS",CZF
11242,"Corozal, Belize: Ranchito",CZH
11243,"Constantine, Algeria: Constantine/Ain El Bey",CZL
11244,"Cozumel, Mexico: Cozumel International",CZM
11245,"Chisana, AK: Chisana Airport",CZN
11246,"Chistochina, AK: Chistochina Airport",CZO
11247,"Cape Pole, AK: Cape Pole Airport",CZP
11248,"Cruzeiro Do Sul, Brazil: Cruzeiro Do Sul Airport",CZS
11249,"Corozal, Colombia: Las Brujas",CZU
11250,"Czestochowa, Poland: Czestochowy",CZW
11251,"Changzhou, China: Benniu",CZX
11252,"Daytona Beach, FL: Daytona Beach International",DAB
11253,"Dhaka, Bangladesh: Hazrat Shahjalal International",DAC
11254,"Danang, Vietnam: Danang International",DAD
11255,"Daet, Philippines: Daet Airport",DAE
11256,"Daup, Papua New Guinea: Daup Airport",DAF
11257,"Daggett, CA: Barstow/Daggett",DAG
11258,"Dakhla Oasis, Egypt: Dakhla",DAK
11259,"Dallas, TX: Dallas Love Field",DAL
11260,"Damascus, Syria: Damascus International",DAM
11261,"Danville, VA: Danville Regional",DAN
11262,"Dar Es Salaam, Tanzania: Julius Nyerere International",DAR
11263,"Datong, China: Datong Airport",DAT
11264,"Daru, Papua New Guinea: Daru Airport",DAU
11265,"David, Panama: Enrique Malek International",DAV
11266,"Daxian, China: Daxian Airport",DAX
11267,"Dayton, OH: James M Cox/Dayton International",DAY
11269,"Dabaa City, Egypt: Al Alamain International",DBB
11271,"Debra Marcos, Ethiopia: Debre Marcos",DBM
11272,"Dublin, GA: W H Bud Barron",DBN
11273,"Dubbo, Australia: Dubbo Airport",DBO
11274,"Dubuque, IA: Dubuque Regional",DBQ
11275,"Debra Tabor, Ethiopia: Debre Tabor",DBT
11276,"Dubrovnik, Croatia: Dubrovnik Airport",DBV
11277,"Dalby, Australia: Dalby Airport",DBY
11278,"Washington, DC: Ronald Reagan Washington National",DCA
11279,"Roseau, Dominica: Canefield",DCF
11280,"Dahl Creek, AK: Dahl Creek Airport",DCK
11281,"Finningley, United Kingdom: RAF Finningley",DCS
11282,"Decatur, AL: Pryor Field Regional",DCU
11283,"Dodge City, KS: Dodge City Regional",DDC
11284,"Dorado, PR: Dorado Airport",DDP
11285,"Zweibrucken, Germany: Zweibruecken",DE1
11286,"Dera Ghazi Khan, Pakistan: Farooq Ahmad Khan Leghari",DEA
11287,"Debrecen, Hungary: Debrecen Airport",DEB
11288,"Decatur, IL: Decatur Airport",DEC
11289,"Decorah, IA: Decorah Municipal",DEH
11290,"Delhi, India: Indira Gandhi International",DEL
11291,"Dembi Dollo, Ethiopia: Dembi Dollo Airport",DEM
11292,"Denver, CO: Denver International",DEN
11294,"Desroches, Seychelles: Desroches Airport",DES
11295,"Detroit, MI: Coleman A. Young Municipal",DET
11296,"Deir Ezzor, Syria: Al Jafrah/Deir Ezzor",DEZ
11297,"Defiance, OH: Defiance Memorial",DFI
11298,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",DFW
11299,"Danger Bay, AK: Danger Bay Airport",DGB
11301,"Durango, Mexico: Durango International",DGO
11302,"Dumaguete, Philippines: Dumaguete Airport",DGT
11303,"Douglas, WY: Converse County",DGW
11304,"Dhahran, Saudi Arabia: King Abdulaziz AB",DHA
11306,"Dhangadhi, Nepal: Dhangadhi Airport",DHI
11307,"Dhala, Yemen: Dhala Airport",DHL
11308,"Dothan, AL: Dothan Regional",DHN
11309,"Dalhart, TX: Dalhart Municipal",DHT
11311,"Dibrugarh, India: Dibrugarh Airport",DIB
11312,"Antsiranana, Madagascar: Arrachart",DIE
11313,"Shangri-La, China: Zhongdian",DIG
11314,"Dijon, France: Dijon Longvic",DIJ
11315,"Dickinson, ND: Dickinson - Theodore Roosevelt Regional",DIK
11316,"Dili, Timor-Leste: Presidente Nicolau Lobato International",DIL
11317,"Diomede Island, AK: Diomede Heliport",DIO
11318,"Dire Dawa, Ethiopia: Aba Tenna Dejazmatch Yilma",DIR
11319,"Dolisie, Congo (Brazaville): Dolisie Airport",DIS
11320,"Diu, India: Diu Airport",DIU
11321,"Divo, Cote d'Ivoire: Divo Airport",DIV
11322,"Diyarbakir, Turkey: Diyarbakir Airport",DIY
11323,"Jambi, Indonesia: Paalmerah",DJB
11324,"Djerba, Tunisia: Djerba Airport",DJE
11325,"Djanet, Algeria: Tiska",DJG
11326,"Jayapura, Indonesia: Sentani",DJJ
11327,"Delta Junction, AK: Delta Junction Airport",DJN
11328,"Daloa, Cote d'Ivoire: Daloa Airport",DJO
11329,"Kolding Vamdrup, Denmark: Kolding Vamdrup Airport",DK1
11330,"Dunk Island, Australia: Kyboola",DKI
11331,"Dunkirk, NY: Chautauqua County/Dunkirk",DKK
11332,"Dakar, Senegal: Leopold Sedar Senghor International",DKR
11333,"Douala, Cameroon: Douala Airport",DLA
11334,"Dalian, China: Zhoushuizi",DLC
11335,"Del Rio, TX: Laughlin AFB",DLF
11336,"Dillingham, AK: Dillingham Airport",DLG
11337,"Duluth, MN: Duluth International",DLH
11338,"Dalat, Vietnam: Lienkhang",DLI
11339,"Dillon, SC: Dillon County",DLL
11340,"Dalaman, Turkey: Dalaman Airport",DLM
11341,"Dolomi, AK: Dolomi Airport",DLO
11342,"The Dalles, OR: Columbia Gorge Regional/The Dalles Municipal",DLS
11343,"Dali City, China: Xiaguan",DLU
11344,"Tucson, AZ: Davis Monthan AFB",DMA
11345,"Moscow, Russia: Domodedovo",DME
11348,"Deming, NM: Deming Municipal",DMN
11349,"Sedalia, MO: Sedalia Regional",DMO
11350,"Dimapur, India: Manipur Road",DMU
11351,"Okinawa, Japan: Kadena AB",DNA
11352,"Dunbar, Australia: Dunbar Airport",DNB
11353,"Duncan Canal, AK: Duncan Canal Airport",DNC
11354,"Dundee, United Kingdom: Dundee Airport",DND
11355,"Dallas/Fort Worth, TX: Dallas North",DNE
11357,"Dnipropetrovsk, Ukraine: Dnipro International",DNK
11358,"Augusta, GA: Daniel Field",DNL
11359,"Dalton, GA: Dalton Municipal",DNN
11360,"Dianopolis, Brazil: Dianopolis Airport",DNO
11361,"Deniliquin, Australia: Deniliquin Airport",DNQ
11362,"Dinard, France: Dinard Pleurtuit Saint Malo",DNR
11363,"Danville, IL: Vermilion Regional",DNV
11365,"Denizli, Turkey: Cardak",DNZ
11366,"Dodoma, Tanzania: Dodoma Airport",DOD
11367,"Dora Bay, AK: Dora Bay Airport",DOF
11368,"Dongola, Sudan: Dongola Airport",DOG
11369,"Doha, Qatar: Doha International",DOH
11370,"Donetsk, Ukraine: Donetsk International",DOK
11371,"Deauville, France: Deauville Normandie",DOL
11372,"Marigot, Dominica: Douglas Charles",DOM
11373,"Dos Lagunas, Guatemala: Dos Lagunas Airport",DON
11374,"Dourados, Brazil: Dourados Airport",DOU
11375,"Dover, DE: Dover AFB",DOV
11376,"Chicago, IL: Du Page County",DPA
11377,"Dugway, UT: Michael AAF",DPG
11378,"Dipolog, Philippines: Dipolog Airport",DPL
11379,"Devonport, Australia: Devonport Airport",DPO
11380,"Denpasar, Indonesia: Gusti Ngurah Rai International",DPS
11381,"Deadhorse, AK: Badami",AA8
11382,"Montijo, Portugal: Montijo Airport",DQB
11383,"Sebastian, FL: Sebastian Municipal",DQC
11384,"Soda Springs, ID: Allen H Tigert",DQD
11385,"Holtville, CA: Holtville Airport",DQE
11387,"Springfield, TN: Springfield Robertson County",DQG
11388,"Alpine, AK: Alpine Airstrip",A20
11388,"Alpine, AK: Alpine Airstrip",DQH
11389,"Colusa, CA: Colusa County",DQI
11390,"Killdeer, ND: Dunn County Weydahl Field",DQJ
11391,"Fort Drum, NY: Wheeler-Sack AAF",DQK
11392,"Anchorage, AK: Lake Hood",DQL
11394,"New Smyrna Beach, FL: New Smyrna Beach Municipal",DQN
11395,"Delhi, LA: Delhi Municipal",DQO
11396,"Georgetown, KY: Marshall Field",DQP
11397,"Cozad, NE: Cozad Municipal",DQQ
11398,"Peach Springs, AZ: Grand Canyon West",1G4
11398,"Peach Springs, AZ: Grand Canyon West",DQR
11399,"Whitmore, AZ: Grand Canyon Bar Ten Airstrip",DQS
11400,"Boscombe, United Kingdom: Boscombe Down",DQT
11401,"Ketchikan, AK: Neets Bay",DQU
11402,"Haines, AK: Glacier Point",DQV
11403,"Peach Springs, AZ: Hualapai",DQW
11404,"Tsui River, AK: Tsui River Airport",DQX
11405,"Cape Canaveral, FL: Cape Canaveral AFS Skid Strip",DQY
11406,"Platinum, AK: Platinum Mine",DQZ
11407,"Mercury, NV: Desert Rock",DRA
11408,"Derby, Australia: Derby Airport",DRB
11409,"Drummond Island, MI: Drummond Island Airport",DRE
11410,"Drift River, AK: Drift River Airport",DRF
11411,"Deering, AK: Deering Airport",DRG
11412,"Dirranbandi, Australia: Dirranbandi Airport",DRN
11413,"Durango, CO: Durango La Plata County",DRO
11414,"Dresden, Germany: Dresden Airport",DRS
11415,"Del Rio, TX: Del Rio International",DRT
11416,"Drummond, MT: Drummond Airport",DRU
11417,"Darwin, Australia: Darwin International",DRW
11418,"Finningley, United Kingdom: Doncaster Sheffield",DSA
11419,"La Desirade, Guadeloupe: La Desirade Airport",DSD
11420,"Dessie, Ethiopia: Dessie/Combolcha",DSE
11421,"Destin, FL: Destin Executive",DSI
11422,"Dera Ismail Khan, Pakistan: D. I. Khan",DSK
11423,"Des Moines, IA: Des Moines International",DSM
11424,"Delta, UT: Delta Municipal",DTA
11425,"Death Valley, CA: Furnace Creek",DTH
11427,"Detroit Lakes, MN: Detroit Lakes-Wething Field",DTL
11428,"Dortmund, Germany: Dortmund Airport",DTM
11429,"Shreveport, LA: Shreveport Downtown",DTN
11430,"Denton, TX: Denton Enterprise",DTO
11431,"Decatur Island, WA: Decatur",DTR
11432,"Detroit, MI: Detroit Metropolitan Area",DTT
11433,"Detroit, MI: Detroit Metro Wayne County",DTW
11434,"Durant, OK: Eaker Field",DUA
11435,"Dublin, Ireland: Dublin Airport",DUB
11436,"Duncan, OK: Halliburton Field",DUC
11437,"Dunedin, New Zealand: Dunedin Airport",DUD
11438,"Dundo, Angola: Dundo Airport",DUE
11439,"Duck, NC: Pine Island",DUF
11440,"Douglas, AZ: Bisbee Douglas International",DUG
11441,"DuBois, PA: DuBois Regional",DUJ
11442,"Duncan/Quamichan Lake, Canada: Duncan",DUQ
11443,"Durban, South Africa: Louis Botha",NA
11444,"Dusseldorf, Germany: Duesseldorf",DUS
11445,"Unalaska, AK: Unalaska Airport",DUT
11446,"Diavik, Canada: Diavik Airport",DVK
11447,"Devils Lake, ND: Devils Lake Regional",DVL
11448,"Davenport, IA: Davenport Municipal",DVN
11449,"Davao, Philippines: Francisco Bangoy International",DVO
11450,"Phoenix, AZ: Phoenix - Deer Valley",DVT
11452,"Davis/Woodland/Winters, CA: Yolo County",DWA
11453,"Houston, TX: David Wayne Hooks Memorial",DWH
11454,"Orlando, FL: Walt Disney World",DWS
11455,"Dubai, United Arab Emirates: Dubai International",DXB
11456,"Danbury, CT: Danbury Municipal",DXR
11457,"Dayong, China: Hehua",DYG
11458,"Anadyr, Russia: Ugolny",DYR
11459,"Abilene, TX: Dyess AFB",DYS
11460,"Dushanbe, Tajikistan: Dushanbe Airport",DYU
11461,"Dzaoudzi, Mayotte: Dzaoudzi-Pamandzi",DZA
11462,"Durazno, Uruguay: Durazno Airport",DZO
11463,"Eagle, AK: Eagle Airport",EAA
11464,"Noatak, AK: Eagle Creek Strip",EAG
11466,"Nejran, Saudi Arabia: Nejran Airport",EAM
11467,"Wheatland, WY: Phifer Airfield",EAN
11468,"Kearney, NE: Kearney Regional",EAR
11469,"San Sebastian, Spain: San Sebastian Airport",EAS
11470,"Wenatchee, WA: Pangborn Memorial",EAT
11471,"Eau Claire, WI: Chippewa Valley Regional",EAU
11472,"Elba Island, Italy: Marina Di Campo",EBA
11473,"Entebbe/Kampala, Uganda: Entebbe International",EBB
11474,"El Obeid, Sudan: El Obeid Airport",EBD
11475,"Esbjerg, Denmark: Esbjerg Airport",EBJ
11476,"Erbil, Iraq: Erbil International",EBL
11477,"St. Etienne, France: Saint Etienne Loire",EBU
11478,"East Tawas, MI: Iosco County",ECA
11479,"Elizabeth City, NC: Elizabeth City CGAS/Regional",ECG
11480,"Ercan, Cyprus: Ercan Airport",ECN
11481,"Panama City, FL: Northwest Florida Beaches International",ECP
11482,"Newcastle, WY: Mondell Field",ECS
11483,"Rocksprings, TX: Edwards County",ECU
11484,"Edna Bay, AK: Edna Bay Airport",EDA
11486,"Edenton, NC: Northeastern Regional",EDE
11487,"Anchorage, AK: Elmendorf AFB",EDF
11488,"Edinburgh, United Kingdom: Edinburgh Airport",EDI
11489,"Eldoret, Kenya: Eldoret Airport",EDL
11490,"Edwards, CA: Edwards AFB",EDW
11491,"Needles, CA: Needles Airport",EED
11492,"Eek, AK: Eek Airport",EEK
11493,"Keene, NH: Dillant Hopkins",EEN
11494,"Eight Fathom Bight, AK: Eight Fathom Bight Airport",EFB
11495,"Houston, TX: Ellington",EFD
11496,"Newport, VT: Northeast Kingdom International",EFK
